race_title,date,departure,arrival,class,distance,vertical_meters,startlist_quality,profile_score,temperature,race_ranking,winner_time,winner_speed,profile_image_url,url
National Championships Belgium ME - ITT 2025 Time Trial,2025-06-27,Brasschaat,Brasschaat,NC,40.5,198.0,83.0,2.0,,165.0,2683,54.342,https://www.procyclingstats.com/images/profiles/ca/be/nc-belgium-itt-2025-result-profile.jpg,https://www.procyclingstats.com/race/nc-belgium-itt/2025/result
National Championships Spain ME - ITT 2025 Time Trial,2025-06-27,Centro Visitantes El Dornajo,Aparcam. Los Penones,NC,14.0,737.0,61.0,99.0,,178.0,1767,28.523,https://www.procyclingstats.com/images/profiles/ca/fb/nc-spain-itt-2025-result-profile.jpg,https://www.procyclingstats.com/race/nc-spain-itt/2025/result
National Championships Denmark ME - ITT 2025 Time Trial,2025-06-27,Aalborg,Aalborg,NC,41.0,111.0,,0.0,,,2831,52.137,https://www.procyclingstats.com/images/profiles/ca/ad/nc-denmark-itt-2025-result-profile.jpg,https://www.procyclingstats.com/race/nc-denmark-itt/2025/result
National Championships Portugal ME - ITT 2025 Time Trial,2025-06-27,Alvaiázere,Alvaiázere,NC,25.1,283.0,10.0,11.0,,308.0,1872,48.269,https://www.procyclingstats.com/images/profiles/ca/ff/nc-portugal-2025-result-profile.jpg,https://www.procyclingstats.com/race/nc-portugal/2025/result
National Championships Austria ME - ITT 2025 Time Trial,2025-06-27,Frauenkirchen,Frauenkirchen,NC,25.4,,9.0,,,321.0,1702,53.725,,https://www.procyclingstats.com/race/nc-austria-itt/2025/result
National Championships Germany ME - ITT 2025 Time Trial,2025-06-27,Ramstein,Ramstein,NC,22.5,257.0,27.0,14.0,,212.0,1667,48.59,https://www.procyclingstats.com/images/profiles/ca/bd/nc-germany-itt-2025-result-profile.jpg,https://www.procyclingstats.com/race/nc-germany-itt/2025/result
National Championships Czech Republic ME - ITT 2025 Time Trial,2025-06-26,Horné Naštice,Horné Naštice,NC,36.0,269.0,15.0,5.0,,268.0,2354,55.055,https://www.procyclingstats.com/images/profiles/ca/cd/nc-czech-republic-itt-2025-result-profile.jpg,https://www.procyclingstats.com/race/nc-czech-republic-itt/2025/result
National Championships Switzerland ME - ITT 2025 Time Trial,2025-06-26,Steinmaur,Steinmaur,NC,18.9,225.0,19.0,13.0,,240.0,1321,51.506,https://www.procyclingstats.com/images/profiles/ca/db/nc-switzerland-itt-2025-result-profile.jpg,https://www.procyclingstats.com/race/nc-switzerland-itt/2025/result
National Championships France ME - ITT 2025 Time Trial,2025-06-26,Les Herbiers,Les Herbiers,NC,26.5,,67.0,,,171.0,1936,49.277,,https://www.procyclingstats.com/race/nc-france-itt/2025/result
National Championships Great Britain ME - ITT 2025 Time Trial,2025-06-26,Ffos-y-ffin,Aberaeron,NC,41.0,539.0,50.0,31.0,,185.0,3248,45.443,https://www.procyclingstats.com/images/profiles/ca/dd/nc-great-britain-itt-2025-result-profile.jpg,https://www.procyclingstats.com/race/nc-great-britain-itt/2025/result
National Championships Italy ME - ITT 2025 Time Trial,2025-06-26,Morsano al Tagliamento,San Vito al Tagliamento,NC,28.0,133.0,61.0,0.0,,176.0,1835,54.932,https://www.procyclingstats.com/images/profiles/ca/ee/nc-italy-itt-2025-result-profile.jpg,https://www.procyclingstats.com/race/nc-italy-itt/2025/result
National Championships Luxembourg ME - ITT 2025 Time Trial,2025-06-26,Mertzig,Mertzig,NC,17.6,258.0,8.0,13.0,,329.0,1449,43.727,https://www.procyclingstats.com/images/profiles/ca/ea/nc-luxembourg-itt-2025-result-profile.jpg,https://www.procyclingstats.com/race/nc-luxembourg-itt/2025/result
National Championships Norway ME - ITT 2025 Time Trial,2025-06-26,Eidsvoll,Lileeng,NC,26.0,157.0,23.0,3.0,,221.0,1691,55.352,https://www.procyclingstats.com/images/profiles/ca/bd/nc-norway-itt-2025-result-profile.jpg,https://www.procyclingstats.com/race/nc-norway-itt/2025/result
National Championships Venezuela ME - ITT 2025 Time Trial,2025-06-26,San Felipe ,San Felipe ,NC,42.3,,,,,,3213,47.395,,https://www.procyclingstats.com/race/nc-venezuela-itt/2025/result
National Championships Netherlands ME - ITT 2025 Time Trial,2025-06-24,Surhuisterveen,Surhuisterveen,NC,31.4,34.0,23.0,0.0,,220.0,2180,51.853,https://www.procyclingstats.com/images/profiles/ca/cb/nc-netherlands-itt-2025-result-profile.jpg,https://www.procyclingstats.com/race/nc-netherlands-itt/2025/result
Tour de Suisse 2025 Stage 8 (ITT),2025-06-22,Beckenried,Stockhütte,2.UWT,10.0,836.0,642.0,191.0,24.0,32.0,1653,21.779,https://www.procyclingstats.com/images/profiles/ca/cc/tour-de-suisse-2025-stage-8-final-km.jpg,https://www.procyclingstats.com/race/tour-de-suisse/2025/stage-8
Baloise Belgium Tour 2025 Stage 3 (ITT),2025-06-20,Tessenderlo,Ham,2.Pro,9.7,79.0,311.0,0.0,25.0,67.0,629,55.517,https://www.procyclingstats.com/images/profiles/ca/ec/tour-of-belgium-2025-stage-3-profile.jpg,https://www.procyclingstats.com/race/tour-of-belgium/2025/stage-3
La Route d'Occitanie - CIC 2025 Stage 1 (ITT),2025-06-18,Saint-Affrique,Roquefort-sur-Soulzon,2.1,10.5,330.0,125.0,37.0,28.0,146.0,928,40.733,https://www.procyclingstats.com/images/profiles/ca/dd/la-route-d-occitanie-2025-stage-1-profile-n2.jpg,https://www.procyclingstats.com/race/la-route-d-occitanie/2025/stage-1
Critérium du Dauphiné 2025 Stage 4 (ITT),2025-06-11,Charmes-sur-Rhône,Saint-Péray,2.UWT,17.4,214.0,837.0,33.0,31.0,15.0,1250,50.112,https://www.procyclingstats.com/images/profiles/ca/fe/dauphine-2025-stage-4-profile-n2.jpg,https://www.procyclingstats.com/race/dauphine/2025/stage-4
Boucles de la Mayenne - Crédit Mutuel 2025 Prologue,2025-05-29,Espace Mayenne - Laval,Espace Mayenne - Laval,2.Pro,5.4,143.0,213.0,4.0,22.0,106.0,406,47.882,https://www.procyclingstats.com/images/profiles/ca/ac/boucles-de-la-mayenne-2025-prologue-profile.jpg,https://www.procyclingstats.com/race/boucles-de-la-mayenne/2025/prologue
Giro d'Italia 2025 Stage 10 (ITT),2025-05-20,Lucca,Pisa,2.UWT,28.6,125.0,946.0,0.0,22.0,8.0,1950,52.8,https://www.procyclingstats.com/images/profiles/ca/ac/giro-d-italia-2025-stage-10-profile-n2.jpg,https://www.procyclingstats.com/race/giro-d-italia/2025/stage-10
Giro d'Italia 2025 Stage 2 (ITT),2025-05-10,Tirana,Tirana,2.UWT,13.7,141.0,946.0,8.0,25.0,8.0,967,51.003,https://www.procyclingstats.com/images/profiles/ca/aa/giro-d-italia-2025-stage-2-profile-n2.jpg,https://www.procyclingstats.com/race/giro-d-italia/2025/stage-2
Tour de Romandie 2025 Stage 5 (ITT),2025-05-04,Genève,Genève,2.UWT,17.1,228.0,500.0,15.0,,40.0,1233,49.927,https://www.procyclingstats.com/images/profiles/ca/dd/tour-de-romandie-2025-stage-5-profile.jpg,https://www.procyclingstats.com/race/tour-de-romandie/2025/stage-5
Tour de Romandie 2025 Prologue,2025-04-29,Saint-Imier,Saint-Imier,2.UWT,3.44,42.0,500.0,2.0,,40.0,273,45.363,https://www.procyclingstats.com/images/profiles/ca/dc/tour-de-romandie-2025-prologue-profile.jpg,https://www.procyclingstats.com/race/tour-de-romandie/2025/prologue
Pan-American Continental Championships ME - ITT 2025 Time Trial,2025-04-24,Punta del Este,Punta del Este,CC,39.3,67.0,24.0,0.0,,215.0,2808,50.385,https://www.procyclingstats.com/images/profiles/ca/cb/panamerican-champ-itt-2025-result-profile.jpg,https://www.procyclingstats.com/race/panamerican-champ-itt/2025/result
Itzulia Basque Country 2025 Stage 1 (ITT),2025-04-07,Vitoria-Gasteiz,Vitoria-Gasteiz (Baskonia-Alavés),2.UWT,16.5,78.0,717.0,2.0,,24.0,1117,53.178,https://www.procyclingstats.com/images/profiles/ca/de/itzulia-basque-country-2025-stage-1-profile-n2.jpg,https://www.procyclingstats.com/race/itzulia-basque-country/2025/stage-1
National Championships Panama ME - ITT 2025 Time Trial,2025-03-14,La Ponderosa Parque Ecoturístico,La Ponderosa Parque Ecoturístico,NC,29.3,,,,,,2171,48.586,,https://www.procyclingstats.com/race/nc-panama-itt/2025/result
Tirreno-Adriatico 2025 Stage 1 (ITT),2025-03-10,Lido di Camaiore,Lido di Camaiore,2.UWT,11.5,10.0,918.0,0.0,15.0,6.0,737,56.174,https://www.procyclingstats.com/images/profiles/ca/bc/tirreno-adriatico-2025-stage-1-profile-n2.jpg,https://www.procyclingstats.com/race/tirreno-adriatico/2025/stage-1
O Gran Camiño -  The Historical Route 2025 Stage 3 (ITT),2025-02-28,Ourense,Pereiro de Aguiar,2.1,15.6,397.0,113.0,47.0,15.0,155.0,1397,40.2,https://www.procyclingstats.com/images/profiles/ca/db/gran-camino-2025-stage-3-profile-n2.jpg,https://www.procyclingstats.com/race/gran-camino/2025/stage-3
Volta ao Algarve em Bicicleta 2025 Stage 5 (ITT),2025-02-23,Salir,Malhão,2.Pro,19.6,367.0,647.0,57.0,15.0,33.0,1705,41.384,https://www.procyclingstats.com/images/profiles/ca/ae/volta-ao-algarve-2025-stage-5-profile.jpg,https://www.procyclingstats.com/race/volta-ao-algarve/2025/stage-5
UAE Tour 2025 Stage 2 (ITT),2025-02-18,Al Hudayriyat Island,Al Hudayriyat Island,2.UWT,12.2,8.0,567.0,0.0,24.0,37.0,775,56.671,https://www.procyclingstats.com/images/profiles/ca/bd/uae-tour-2025-stage-2-profile-n2.jpg,https://www.procyclingstats.com/race/uae-tour/2025/stage-2
Etoile de Bessèges - Tour du Gard 2025 Stage 5 (ITT),2025-02-09,Alès,L'Hermitage,2.1,10.645,174.0,358.0,23.0,9.0,60.0,907,42.251,https://www.procyclingstats.com/images/profiles/ca/fb/etoile-de-besseges-2025-stage-5-profile.jpg,https://www.procyclingstats.com/race/etoile-de-besseges/2025/stage-5
National Championships South Africa ME - ITT 2025 Time Trial,2025-02-07,Midvaal,Midvaal,NC,41.0,250.0,4.0,1.0,24.0,382.0,2870,51.429,https://www.procyclingstats.com/images/profiles/ca/bc/nc-south-africa-itt-2025-result-profile.jpg,https://www.procyclingstats.com/race/nc-south-africa-itt/2025/result
National Championships New Zealand ME - ITT 2025 Time Trial,2025-02-06,Timaru,Timaru,NC,37.4,462.0,34.0,32.0,15.0,200.0,2857,47.126,https://www.procyclingstats.com/images/profiles/ca/ce/nc-new-zealand-itt-2025-result-profile.jpg,https://www.procyclingstats.com/race/nc-new-zealand-itt/2025/result
National Championships Colombia ME - ITT 2025 Time Trial,2025-02-06,Bucaramanga,Bucaramanga,NC,42.2,519.0,29.0,28.0,27.0,205.0,3051,49.794,https://www.procyclingstats.com/images/profiles/ca/fe/nc-colombia-itt-2025-result-profile.jpg,https://www.procyclingstats.com/race/nc-colombia-itt/2025/result
National Championships Australia ME - ITT 2025 Time Trial,2025-01-09,Perth,Perth,NC,38.4,380.0,17.0,8.0,28.0,248.0,2793,49.495,https://www.procyclingstats.com/images/profiles/ca/ed/australian-open-road-championships-itt-2025-result-profile.jpg,https://www.procyclingstats.com/race/australian-open-road-championships-itt/2025/result
World Championships ME - ITT 2024 Time Trial,2024-09-22,Zürich,Zürich,WC,46.1,405.0,285.0,27.0,22.0,77.0,3181,52.172,https://www.procyclingstats.com/images/profiles/ca/fb/world-championship-itt-2024-result-profile-n2.jpg,https://www.procyclingstats.com/race/world-championship-itt/2024/result
Skoda Tour de Luxembourg 2024 Stage 4  (ITT),2024-09-21,Differdange,Differdange,2.Pro,15.5,225.0,418.0,30.0,23.0,44.0,1151,48.48,https://www.procyclingstats.com/images/profiles/ca/df/tour-de-luxembourg-2024-stage-4-profile.jpg,https://www.procyclingstats.com/race/tour-de-luxembourg/2024/stage-4
European Continental Championships ME - ITT 2024 Time Trial,2024-09-11,Heusden-Zolder,Hasselt,CC,31.3,94.0,68.0,0.0,15.0,177.0,2115,53.277,https://www.procyclingstats.com/images/profiles/ca/cb/uec-road-european-championships-itt-2024-result-profile-n2.jpg,https://www.procyclingstats.com/race/uec-road-european-championships-itt/2024/result
La Vuelta Ciclista a España 2024 Stage 21 (ITT),2024-09-08,Madrid,Madrid,2.UWT,24.6,190.0,916.0,6.0,26.0,12.0,1588,55.768,https://www.procyclingstats.com/images/profiles/ca/ec/vuelta-a-espana-2024-stage-21-profile-n2.jpg,https://www.procyclingstats.com/race/vuelta-a-espana/2024/stage-21
Renewi Tour 2024 Stage 2 (ITT),2024-08-29,Tessenderlo,Tessenderlo,2.UWT,15.4,106.0,732.0,1.0,25.0,23.0,1019,54.406,https://www.procyclingstats.com/images/profiles/ca/ab/renewi-tour-2024-stage-2-profile.jpg,https://www.procyclingstats.com/race/renewi-tour/2024/stage-2
Tour Poitou - Charentes en Nouvelle Aquitaine 2024 Stage 3 (ITT),2024-08-22,Ménigoute,Fontaine-le-Comte,2.1,29.2,146.0,100.0,6.0,26.0,163.0,1883,55.826,https://www.procyclingstats.com/images/profiles/ca/fa/tour-du-poitou-charentes-et-de-la-vienne-2024-stage-3-profile.jpg,https://www.procyclingstats.com/race/tour-du-poitou-charentes-et-de-la-vienne/2024/stage-3
Deutschland Tour 2024 Prologue,2024-08-21,Schweinfurt,Schweinfurt,2.Pro,2.9,24.0,341.0,0.0,21.0,60.0,196,53.265,https://www.procyclingstats.com/images/profiles/ca/eb/deutschland-tour-2024-stage-0-profile.jpg,https://www.procyclingstats.com/race/deutschland-tour/2024/stage-0
La Vuelta Ciclista a España 2024 Stage 1 (ITT),2024-08-17,Lisbon,Oeiras,2.UWT,12.0,55.0,916.0,1.0,28.0,12.0,755,57.219,https://www.procyclingstats.com/images/profiles/ca/fe/vuelta-a-espana-2024-stage-1-sprint.jpg,https://www.procyclingstats.com/race/vuelta-a-espana/2024/stage-1
Tour de Pologne 2024 Stage 2 (ITT),2024-08-13,Mysłakowice,Karpacz,2.UWT,15.4,461.0,595.0,54.0,27.0,33.0,1439,38.527,https://www.procyclingstats.com/images/profiles/ca/ca/tour-de-pologne-2024-stage-2-profile.jpg,https://www.procyclingstats.com/race/tour-de-pologne/2024/stage-2
Vuelta a Burgos 2024 Stage 4 (ITT),2024-08-08,Santa María del Campo,Pampliega,2.Pro,18.5,87.0,237.0,0.0,29.0,91.0,1191,55.919,https://www.procyclingstats.com/images/profiles/ca/cc/vuelta-a-burgos-2024-stage-4-profile.jpg,https://www.procyclingstats.com/race/vuelta-a-burgos/2024/stage-4
Volta a Portugal em Bicicleta 2024 Stage 10 (ITT),2024-08-04,Viseu,Viseu ,2.1,26.6,369.0,38.0,24.0,34.0,187.0,2076,46.127,https://www.procyclingstats.com/images/profiles/ca/fc/volta-a-portugal-2024-stage-12-profile.jpg,https://www.procyclingstats.com/race/volta-a-portugal/2024/stage-12
Olympic Games ME - ITT 2024 Time Trial,2024-07-27,Paris,Paris,Olympics,32.4,123.0,389.0,1.0,19.0,47.0,2172,53.702,https://www.procyclingstats.com/images/profiles/ca/ee/olympic-games-itt-2024-result-profile.jpg,https://www.procyclingstats.com/race/olympic-games-itt/2024/result
Volta a Portugal em Bicicleta 2024 Prologue,2024-07-24,Águeda ,Águeda ,2.1,5.6,73.0,38.0,5.0,34.0,187.0,408,49.412,https://www.procyclingstats.com/images/profiles/ca/aa/volta-a-portugal-2024-stage-1-profile.jpg,https://www.procyclingstats.com/race/volta-a-portugal/2024/stage-1
Tour de France 2024 Stage 21 (ITT),2024-07-21,Monaco,Nice,2.UWT,33.7,720.0,1723.0,73.0,28.0,1.0,2724,44.537,https://www.procyclingstats.com/images/profiles/ca/fb/tour-de-france-2024-stage-21-profile.jpg,https://www.procyclingstats.com/race/tour-de-france/2024/stage-21
Sibiu Cycling Tour 2024 Stage 2b (ITT),2024-07-07,Sibiu,Sibiu,2.1,3.2,17.0,76.0,1.0,30.0,172.0,262,43.969,https://www.procyclingstats.com/images/profiles/ca/fc/sibiu-cycling-tour-2024-stage-2b-profile.jpg,https://www.procyclingstats.com/race/sibiu-cycling-tour/2024/stage-2b
Tour de France 2024 Stage 7 (ITT),2024-07-05,Nuits-Saint-Georges,Gevrey-Chambertin,2.UWT,25.3,283.0,1723.0,13.0,24.0,1.0,1732,52.587,https://www.procyclingstats.com/images/profiles/ca/bc/tour-de-france-2024-stage-7-climb.jpg,https://www.procyclingstats.com/race/tour-de-france/2024/stage-7
Tour of Austria 2024 Prologue,2024-07-02,St. Pölten,St. Pölten,2.1,3.0,9.0,129.0,0.0,22.0,147.0,218,49.541,https://www.procyclingstats.com/images/profiles/ca/ee/tour-of-austria-2024-stage-1-profile.jpg,https://www.procyclingstats.com/race/tour-of-austria/2024/stage-1
National Championships Spain ME - ITT 2024 Time Trial,2024-06-21,Galapagar,Galapagar,NC,33.4,326.0,,12.0,,,2312,52.007,,https://www.procyclingstats.com/race/nc-spain-itt/2024/result
National Championships Denmark ME - ITT 2024 Time Trial,2024-06-21,Herning,Herning,NC,41.3,183.0,,0.0,,,2828,52.574,,https://www.procyclingstats.com/race/nc-denmark-itt/2024/result
National Championships Portugal ME - ITT 2024 Time Trial,2024-06-21,Santa Maria da Feira,Santa Maria da Feira,NC,32.4,533.0,12.0,25.0,,304.0,2372,49.174,,https://www.procyclingstats.com/race/nc-portugal/2024/result
National Championships Austria ME - ITT 2024 Time Trial,2024-06-21,Königswiesen,Königswiesen,NC,23.6,,14.0,,,278.0,1683,50.481,,https://www.procyclingstats.com/race/nc-austria-itt/2024/result
National Championships Venezuela ME - ITT 2024 Time Trial,2024-06-21,San Carlos,San Carlos,NC,39.3,,,,,,2863,49.417,,https://www.procyclingstats.com/race/nc-venezuela-itt/2024/result
National Championships Germany ME - ITT 2024 Time Trial,2024-06-21,Donaueschingen,Bad Dürrheim,NC,30.6,251.0,,6.0,,,2211,49.824,,https://www.procyclingstats.com/race/nc-germany-itt/2024/result
National Championships Switzerland ME - ITT 2024 Time Trial,2024-06-20,Aire-la-Ville,Aire-la-Ville,NC,30.8,282.0,25.0,15.0,,204.0,2169,51.12,,https://www.procyclingstats.com/race/nc-switzerland-itt/2024/result
National Championships Belgium ME - ITT 2024 Time Trial,2024-06-20,Binche,Binche,NC,38.5,354.0,55.0,4.0,,176.0,2765,50.127,,https://www.procyclingstats.com/race/nc-belgium-itt/2024/result
National Championships Italy ME - ITT 2024 Time Trial,2024-06-20,Grosseto,Grosseto,NC,35.1,27.0,,0.0,,,2358,53.588,,https://www.procyclingstats.com/race/nc-italy-itt/2024/result
National Championships France ME - ITT 2024 Time Trial,2024-06-20,Pontorson,Saint-Martin-de-Landelles,NC,35.2,402.0,31.0,18.0,,191.0,2623,48.311,,https://www.procyclingstats.com/race/nc-france-itt/2024/result
National Championships Norway ME - ITT 2024 Time Trial,2024-06-20,Bodø,Bodø,NC,27.0,609.0,16.0,66.0,,256.0,2054,47.322,,https://www.procyclingstats.com/race/nc-norway-itt/2024/result
National Championships Czech Republic ME - ITT 2024 Time Trial,2024-06-20,Jevíčko,Jevíčko,NC,46.5,420.0,14.0,8.0,,277.0,3171,52.791,,https://www.procyclingstats.com/race/nc-czech-republic-itt/2024/result
National Championships Poland ME - ITT 2024 Time Trial,2024-06-20,Radzanowo,Radzanowo,NC,44.7,123.0,,0.0,,,3080,52.247,,https://www.procyclingstats.com/race/nc-poland-itt/2024/result
National Championships Netherlands ME - ITT 2024 Time Trial,2024-06-19,Steenbergen,Steenbergen,NC,36.8,37.0,24.0,0.0,,206.0,2619,50.584,,https://www.procyclingstats.com/race/nc-netherlands-itt/2024/result
National Championships Great Britain ME - ITT 2024 Time Trial,2024-06-19,Catterick,Catterick,NC,30.0,449.0,23.0,42.0,,212.0,2361,45.743,,https://www.procyclingstats.com/race/nc-great-britain-itt/2024/result
National Championships Sweden ME - ITT 2024 Time Trial,2024-06-18,Linköping,Linköping,NC,32.0,,3.0,,,384.0,2178,52.893,,https://www.procyclingstats.com/race/nc-sweden-itt/2024/result
Tour de Suisse 2024 Stage 8 (ITT),2024-06-16,Aigle,Villars-sur-Ollon,2.UWT,15.7,875.0,744.0,160.0,22.0,22.0,2003,28.218,https://www.procyclingstats.com/images/profiles/ca/df/tour-de-suisse-2024-stage-8-profile-n2.jpg,https://www.procyclingstats.com/race/tour-de-suisse/2024/stage-8
Baloise Belgium Tour 2024 Stage 1 (ITT),2024-06-12,Beringen,Beringen,2.Pro,12.0,136.0,442.0,2.0,15.0,42.0,804,53.731,https://www.procyclingstats.com/images/profiles/ca/ec/tour-of-belgium-2024-stage-1-profile.jpg,https://www.procyclingstats.com/race/tour-of-belgium/2024/stage-1
Tour de Suisse 2024 Stage 1 (ITT),2024-06-09,Vaduz,Vaduz,2.UWT,4.77,14.0,744.0,0.0,22.0,22.0,305,56.302,https://www.procyclingstats.com/images/profiles/ca/ce/tour-de-suisse-2024-stage-1-profile.jpg,https://www.procyclingstats.com/race/tour-de-suisse/2024/stage-1
ZLM Tour 2024 Stage 1 (ITT),2024-06-05,Westkapelle,Westkapelle,2.1,14.7,18.0,68.0,0.0,16.0,171.0,1036,51.081,https://www.procyclingstats.com/images/profiles/ca/ba/zlm-tour-2024-stage-1-profile.png,https://www.procyclingstats.com/race/zlm-tour/2024/stage-1
Critérium du Dauphiné 2024 Stage 4 (ITT),2024-06-05,Saint-Germain-Laval,Neulise,2.UWT,34.4,427.0,779.0,19.0,25.0,18.0,2509,49.358,https://www.procyclingstats.com/images/profiles/ca/dc/dauphine-2024-stage-4-profile-n2.png,https://www.procyclingstats.com/race/dauphine/2024/stage-4
