race_title,date,departure,arrival,class,distance,vertical_meters,startlist_quality,profile_score,temperature,race_ranking,winner_time,winner_speed,profile_image_url,url
National Championships Australia ME - ITT 2023 Time Trial,2023-01-10,Mount Helen,Mount Helen,NC,37.5,,15.0,,,273.0,2798,48.249,,https://www.procyclingstats.com/race/australian-open-road-championships-itt/2023/result
World Championships MJ - ITT 2022 Time Trial,2022-09-20,Wollongong,Wollongong,WC,28.8,306.0,0.0,18.0,,,2099,49.395,https://www.procyclingstats.com/images/profiles/ca/ac/uci-world-championships-itt-mj-2022-result-profile.jpg,https://www.procyclingstats.com/race/uci-world-championships-itt-mj/2022/result
World Championships MU - ITT 2022 Time Trial,2022-09-19,Wollongong,Wollongong,WC,28.8,306.0,19.0,18.0,,242.0,2053,50.502,https://www.procyclingstats.com/images/profiles/ca/ed/world-championships-itt-u23-2022-result-profile-n2.jpg,https://www.procyclingstats.com/race/world-championships-itt-u23/2022/result
World Championships ME - ITT 2022 Time Trial,2022-09-18,Wollongong,Wollongong,WC,34.2,324.0,324.0,17.0,,66.0,2402,51.257,https://www.procyclingstats.com/images/profiles/ca/cd/world-championship-itt-2022-result-profile.jpg,https://www.procyclingstats.com/race/world-championship-itt/2022/result
Škoda Tour Luxembourg 2022 Stage 4 (ITT),2022-09-16,Remich,Remich,2.Pro,26.1,303.0,177.0,38.0,,119.0,2045,45.946,https://www.procyclingstats.com/images/profiles/ca/ce/tour-de-luxembourg-2022-stage-4-profile.jpg,https://www.procyclingstats.com/race/tour-de-luxembourg/2022/stage-4
Okolo Slovenska / Tour de Slovaquie 2022 Prologue,2022-09-13,Bratislava,Bratislava,2.1,7.0,13.0,83.0,0.0,,165.0,453,55.629,https://www.procyclingstats.com/images/profiles/ca/ab/okolo-slovenska-2022-stage-1-profile.jpg,https://www.procyclingstats.com/race/okolo-slovenska/2022/prologue
La Vuelta ciclista a España 2022 Stage 10 (ITT),2022-08-30,Elche,Alicante,2.UWT,30.9,179.0,968.0,4.0,,9.0,1998,55.676,https://www.procyclingstats.com/images/profiles/ca/fc/vuelta-a-espana-2022-stage-10-profile-n2.jpg,https://www.procyclingstats.com/race/vuelta-a-espana/2022/stage-10
Tour Poitou - Charentes en Nouvelle Aquitaine 2022 Stage 4 (ITT),2022-08-25,Smarves,Vivonne,2.1,21.4,167.0,182.0,5.0,,120.0,1501,51.326,https://www.procyclingstats.com/images/profiles/ca/ed/tour-du-poitou-charentes-et-de-la-vienne-2022-stage-3b-profile-n2.jpg,https://www.procyclingstats.com/race/tour-du-poitou-charentes-et-de-la-vienne/2022/stage-4
Deutschland Tour 2022 Prologue,2022-08-24,Weimar,Weimar,2.Pro,2.6,17.0,473.0,1.0,,41.0,176,53.182,https://www.procyclingstats.com/images/profiles/ca/de/deutschland-tour-2022-prologue-profile-n2.jpg,https://www.procyclingstats.com/race/deutschland-tour/2022/prologue
PostNord Danmark Rundt - Tour of Denmark 2022 Stage 2 (ITT),2022-08-17,Assens,Assens,2.Pro,12.2,81.0,295.0,0.0,,75.0,815,53.89,https://www.procyclingstats.com/images/profiles/ca/ab/tour-of-denmark-2022-stage-2-profile.jpg,https://www.procyclingstats.com/race/tour-of-denmark/2022/stage-2
European Continental Championships ME - ITT 2022 Time Trial,2022-08-17,Fürstenfeldbruck,Fürstenfeldbruck,CC,24.0,,91.0,,,158.0,1626,53.137,,https://www.procyclingstats.com/race/uec-road-european-championships-itt/2022/result
Volta a Portugal em Bicicleta 2022 Stage 10 (ITT),2022-08-15,Porto,Vila Nova de Gaia,2.1,18.6,391.0,16.0,35.0,,254.0,1507,44.433,https://www.procyclingstats.com/images/profiles/ca/ee/volta-a-portugal-2022-stage-10-profile.jpg,https://www.procyclingstats.com/race/volta-a-portugal/2022/stage-10
Tour de Pologne 2022 Stage 6 (ITT),2022-08-04,Nowy Targ (Gronków),Stacja Narciarska Rusiński,2.UWT,11.8,337.0,466.0,28.0,,37.0,1060,40.075,https://www.procyclingstats.com/images/profiles/ca/cf/tour-de-pologne-2022-stage-6-profile.jpg,https://www.procyclingstats.com/race/tour-de-pologne/2022/stage-6
Volta a Portugal em Bicicleta 2022 Prologue,2022-08-04,Lisboa,Lisboa,2.1,5.4,5.0,16.0,0.0,,254.0,371,52.399,https://www.procyclingstats.com/images/profiles/ca/da/volta-a-portugal-2022-prologue-profile.jpg,https://www.procyclingstats.com/race/volta-a-portugal/2022/prologue
Tour de France 2022 Stage 20 (ITT),2022-07-23,Lacapelle-Marival,Rocamadour,2.UWT,40.7,434.0,1551.0,39.0,,1.0,2879,50.893,https://www.procyclingstats.com/images/profiles/ca/ba/tour-de-france-2022-stage-20-profile.jpg,https://www.procyclingstats.com/race/tour-de-france/2022/stage-20
Sibiu Cycling Tour 2022 Stage 3a (ITT),2022-07-05,Curmătura Stezii,Arena Platoş Păltiniş,2.1,12.5,664.0,77.0,106.0,,168.0,1607,28.002,https://www.procyclingstats.com/images/profiles/ca/ae/sibiu-cycling-tour-2022-stage-4a-profile.jpg,https://www.procyclingstats.com/race/sibiu-cycling-tour/2022/stage-3a
Sibiu Cycling Tour 2022 Prologue,2022-07-02,Sibiu,Sibiu,2.1,2.3,41.0,77.0,3.0,,168.0,163,50.798,https://www.procyclingstats.com/images/profiles/ca/bd/sibiu-cycling-tour-2022-stage-1-profile.jpg,https://www.procyclingstats.com/race/sibiu-cycling-tour/2022/prologue
Tour de France 2022 Stage 1 (ITT),2022-07-01,Copenhagen,Copenhagen,2.UWT,13.2,21.0,1551.0,0.0,,1.0,917,51.821,https://www.procyclingstats.com/images/profiles/ca/da/tour-de-france-2022-stage-1-profile.jpg,https://www.procyclingstats.com/race/tour-de-france/2022/stage-1
National Championships Spain ME - ITT 2022 Time Trial,2022-06-24,Cala Millor,Cala Millor,NC,38.5,382.0,48.0,10.0,,183.0,2783,49.802,,https://www.procyclingstats.com/race/nc-spain-itt/2022/result
National Championships Germany ME - ITT 2022 Time Trial,2022-06-24,Marsberg,Marsberg,NC,27.5,413.0,33.0,34.0,,201.0,2131,46.457,,https://www.procyclingstats.com/race/nc-germany-itt/2022/result
National Championships Luxembourg ME - ITT 2022 Time Trial,2022-06-24,Nospelt,Nospelt,NC,13.8,152.0,5.0,7.0,,368.0,1025,48.468,,https://www.procyclingstats.com/race/nc-luxembourg-itt/2022/result
National Championships Portugal ME - ITT 2022 Time Trial,2022-06-24,Mogadouro,Mogadouro,NC,33.6,309.0,39.0,9.0,,194.0,2423,49.922,,https://www.procyclingstats.com/race/nc-portugal/2022/result
National Championships Denmark ME - ITT 2022 Time Trial,2022-06-23,Aalborg,Aalborg,NC,39.6,133.0,67.0,1.0,,172.0,2785,51.189,,https://www.procyclingstats.com/race/nc-denmark-itt/2022/result
National Championships France ME - ITT 2022 Time Trial,2022-06-23,Cholet,Cholet,NC,44.3,408.0,35.0,9.0,,200.0,3050,52.289,,https://www.procyclingstats.com/race/nc-france-itt/2022/result
National Championships Belgium ME - ITT 2022 Time Trial,2022-06-23,Gavere,Gavere,NC,34.8,234.0,80.0,4.0,,166.0,2422,51.726,,https://www.procyclingstats.com/race/nc-belgium-itt/2022/result
National Championships Norway ME - ITT 2022 Time Trial,2022-06-23,Steinkjer,Steinkjer,NC,24.7,585.0,7.0,29.0,,342.0,1743,51.015,,https://www.procyclingstats.com/race/nc-norway-itt/2022/result
National Championships Great Britain ME - ITT 2022 Time Trial,2022-06-23,Dumfries,Dumfries,NC,44.2,265.0,27.0,2.0,,210.0,3038,52.377,,https://www.procyclingstats.com/race/nc-great-britain-itt/2022/result
National Championships Slovenia ME - ITT 2022 Time Trial,2022-06-23,Novo Mesto,Novo Mesto,NC,28.8,403.0,58.0,35.0,,180.0,2122,48.86,,https://www.procyclingstats.com/race/nc-slovenia-itt/2022/result
National Championships Switzerland ME - ITT 2022 Time Trial,2022-06-23,Steinmaur,Steinmaur,NC,38.0,451.0,62.0,19.0,,176.0,2820,48.511,,https://www.procyclingstats.com/race/nc-switzerland-itt/2022/result
National Championships United States ME - ITT 2022 Time Trial,2022-06-23,Knoxville,Knoxville,NC,34.9,346.0,6.0,18.0,,354.0,2439,51.513,,https://www.procyclingstats.com/race/nc-usa-itt/2022/result
National Championships Austria ME - ITT 2022 Time Trial,2022-06-23,Novo Mesto,Novo Mesto,NC,28.8,,10.0,,,307.0,2105,49.254,,https://www.procyclingstats.com/race/nc-austria-itt/2022/result
National Championships Sweden ME - ITT 2022 Time Trial,2022-06-23,Björklinge,Björklinge,NC,31.0,,2.0,,,441.0,2106,52.991,,https://www.procyclingstats.com/race/nc-sweden-itt/2022/result
National Championships Estonia ME - ITT 2022 Time Trial,2022-06-22,Kuremaa,Kuremaa,NC,34.8,125.0,8.0,0.0,,333.0,2500,50.112,,https://www.procyclingstats.com/race/nc-estonia-itt/2022/result
National Championships Poland ME - ITT 2022 Time Trial,2022-06-22,Leoncin,Leoncin,NC,51.0,245.0,4.0,5.0,,379.0,3618,50.746,,https://www.procyclingstats.com/race/nc-poland-itt/2022/result
National Championships Italy ME - ITT 2022 Time Trial,2022-06-22,San Giovanni al Natisone,San Giovanni al Natisone,NC,35.6,226.0,40.0,12.0,,194.0,2429,52.762,,https://www.procyclingstats.com/race/nc-italy-itt/2022/result
National Championships Netherlands ME - ITT 2022 Time Trial,2022-06-22,Emmen,Emmen,NC,29.6,77.0,41.0,0.0,,192.0,1983,53.737,,https://www.procyclingstats.com/race/nc-netherlands-itt/2022/result
Tour de Suisse 2022 Stage 8 (ITT),2022-06-19,Vaduz,Vaduz,2.UWT,25.6,131.0,767.0,3.0,,14.0,1706,54.021,https://www.procyclingstats.com/images/profiles/ca/bd/tour-de-suisse-2022-stage-8-profile.png,https://www.procyclingstats.com/race/tour-de-suisse/2022/stage-8
Baloise Belgium Tour 2022 Stage 3 (ITT),2022-06-17,Scherpenheuvel-Zichem,Scherpenheuvel-Zichem,2.Pro,11.8,49.0,382.0,0.0,,51.0,819,51.868,https://www.procyclingstats.com/images/profiles/ca/ee/tour-of-belgium-2022-stage-3-profile-n2.jpg,https://www.procyclingstats.com/race/tour-of-belgium/2022/stage-3
National Championships Venezuela ME - ITT 2022 Time Trial,2022-06-09,Valencia,Valencia,NC,42.0,,2.0,,,436.0,3350,45.134,,https://www.procyclingstats.com/race/nc-venezuela-itt/2022/result
Critérium du Dauphiné 2022 Stage 4 (ITT),2022-06-08,Montbrison,La Bâtie d’Urfé,2.UWT,31.9,96.0,789.0,1.0,,13.0,2132,53.865,https://www.procyclingstats.com/images/profiles/ca/ba/dauphine-2022-stage-4-profile.jpg,https://www.procyclingstats.com/race/dauphine/2022/stage-4
Tour of Estonia 2022 Prologue,2022-05-26,Tallinn,Tallinn,2.1,3.7,59.0,41.0,1.0,,190.0,314,42.42,https://www.procyclingstats.com/images/profiles/ca/df/tour-of-estonia-2022-stage-1-profile-n2.jpg,https://www.procyclingstats.com/race/tour-of-estonia/2022/prologue
Tour de Gironde International 2022 Stage 1a (ITT),2022-05-14,Saint Pierre-de-Bat,Porte de Banauge,2.1,9.5,117.0,0.0,1.0,,,667,51.274,https://www.procyclingstats.com/images/profiles/ca/de/Tour-de-Gironde-International-2022-stage-1-profile.jpg,https://www.procyclingstats.com/race/Tour-de-Gironde-International/2022/stage-1
Campeonato Panamericano de Ruta ME - ITT 2022 Time Trial,2022-05-12,Ullun,Presa Punta Negra,CC,46.6,,8.0,,,334.0,3473,48.304,,https://www.procyclingstats.com/race/panamerican-champ-itt/2022/result
Giro d'Italia 2022 Stage 2 (ITT),2022-05-07,Budapest,Budapest,2.UWT,9.2,81.0,817.0,8.0,,12.0,710,46.648,https://www.procyclingstats.com/images/profiles/ca/bb/giro-d-italia-2022-stage-2-profile-n2.jpg,https://www.procyclingstats.com/race/giro-d-italia/2022/stage-2
National Championships Panama ME - ITT 2022 Time Trial,2022-05-06,,,NC,34.7,,3.0,,,379.0,2616,47.752,,https://www.procyclingstats.com/race/nc-panama-itt/2022/result
Tour de Romandie 2022 Stage 5 (ITT),2022-05-01,Aigle,Villars,2.UWT,15.84,884.0,508.0,172.0,,34.0,2020,28.23,https://www.procyclingstats.com/images/profiles/ca/cc/tour-de-romandie-2022-stage-5-profile.jpg,https://www.procyclingstats.com/race/tour-de-romandie/2022/stage-5
Tour de Romandie 2022 Prologue,2022-04-26,Lausanne,Lausanne,2.UWT,5.12,39.0,508.0,0.0,,34.0,352,52.364,https://www.procyclingstats.com/images/profiles/ca/ac/tour-de-romandie-2022-prologue-profile.jpg,https://www.procyclingstats.com/race/tour-de-romandie/2022/prologue
Itzulia Basque Country 2022 Stage 1 (ITT),2022-04-04,Hondarribia,Hondarribia,2.UWT,7.51,100.0,741.0,7.0,,19.0,588,45.98,https://www.procyclingstats.com/images/profiles/ca/cf/itzulia-basque-country-2022-stage-1-profile.jpg,https://www.procyclingstats.com/race/itzulia-basque-country/2022/stage-1
Paris - Nice 2022 Stage 4 (ITT),2022-03-09,Domérat,Montluçon,2.UWT,13.4,188.0,1182.0,18.0,,3.0,980,49.224,https://www.procyclingstats.com/images/profiles/ca/ca/paris-nice-2022-stage-4-profile.jpg,https://www.procyclingstats.com/race/paris-nice/2022/stage-4
Tirreno-Adriatico 2022 Stage 1 (ITT),2022-03-07,Lido di Camaiore,Lido di Camaiore,2.UWT,13.9,4.0,1059.0,0.0,,10.0,917,54.569,https://www.procyclingstats.com/images/profiles/ca/cf/tirreno-adriatico-2022-stage-1-profile.jpg,https://www.procyclingstats.com/race/tirreno-adriatico/2022/stage-1
Gran Camiño 2022 Stage 4 (ITT),2022-02-27,Sarria ,Sarria ,2.1,15.8,208.0,225.0,20.0,,95.0,1219,46.661,https://www.procyclingstats.com/images/profiles/ca/ef/gran-camino-2022-stage-4-profile.jpg,https://www.procyclingstats.com/race/gran-camino/2022/stage-4
UAE Tour 2022 Stage 3 (ITT),2022-02-22,Ajman,Ajman,2.UWT,9.0,9.0,621.0,0.0,,33.0,583,55.575,https://www.procyclingstats.com/images/profiles/ca/ce/uae-tour-2022-stage-3-profile.jpg,https://www.procyclingstats.com/race/uae-tour/2022/stage-3
Volta ao Algarve em Bicicleta 2022 Stage 4 (ITT),2022-02-19,Vila Real de Santo António,Tavira,2.Pro,32.2,407.0,483.0,26.0,,37.0,2269,51.089,https://www.procyclingstats.com/images/profiles/ca/fd/volta-ao-algarve-2022-stage-4-profile.jpg,https://www.procyclingstats.com/race/volta-ao-algarve/2022/stage-4
National Championships New Zealand ME - ITT 2022 Time Trial,2022-02-11,Cambridge,Cambridge,NC,42.5,377.0,7.0,13.0,,315.0,3152,48.541,,https://www.procyclingstats.com/race/nc-new-zealand-itt/2022/result
Tour de la Provence 2022 Prologue,2022-02-10,Berre-l'Étang,Berre-l'Étang,2.Pro,7.1,14.0,318.0,0.0,,64.0,484,52.81,https://www.procyclingstats.com/images/profiles/ca/ad/tour-cycliste-international-la-provence-2022-prologue-profile.jpg,https://www.procyclingstats.com/race/tour-cycliste-international-la-provence/2022/prologue
National Championships Colombia ME - ITT 2022 Time Trial,2022-02-10,Pereira,Pereira,NC,38.3,139.0,18.0,1.0,,235.0,2607,52.888,,https://www.procyclingstats.com/race/nc-colombia-itt/2022/result
Etoile de Bessèges - Tour du Gard 2022 Stage 5 (ITT),2022-02-06,Alès,Alès l'Ermitage,2.1,10.64,171.0,367.0,20.0,,56.0,932,41.099,https://www.procyclingstats.com/images/profiles/ca/cd/etoile-de-besseges-2022-stage-5-profile.jpg,https://www.procyclingstats.com/race/etoile-de-besseges/2022/stage-5
National Championships Australia ME - ITT 2022 Time Trial,2022-01-12,Ballarat,Ballarat,NC,37.5,,8.0,,,299.0,2734,49.378,,https://www.procyclingstats.com/race/australian-open-road-championships-itt/2022/result
National Championships Great Britain ME - ITT 2021 Time Trial,2021-10-14,Lincoln,Lincoln,NC,44.7,579.0,49.0,31.0,,170.0,3401,47.315,,https://www.procyclingstats.com/race/nc-great-britain-itt/2021/result
SPIE Internationale Juniorendriedaagse 2021 Stage 2a (ITT),2021-10-09,Axel,Axel,2.1,12.2,16.0,0.0,0.0,,,866,50.716,https://www.procyclingstats.com/images/profiles/ap/cd/driedaagse-van-axel-2021-stage-2a-profile-6d56f41c7c.jpg,https://www.procyclingstats.com/race/spie-internationale-junioren-driedaagse/2021/stage-2a
World Championships MJ - ITT 2021 Time Trial,2021-09-21,Knokke-Heist,Bruges,WC,22.3,26.0,0.0,0.0,,,1537,52.232,https://www.procyclingstats.com/images/profiles/ap/aa/uci-world-championships-itt-mj-2020-result-profile-7a6596921e.jpg,https://www.procyclingstats.com/race/uci-world-championships-itt-mj/2021/result
World Championships MU - ITT 2021 Time Trial,2021-09-20,Knokke-Heist,Bruges,WC,30.3,27.0,27.0,0.0,,179.0,2069,52.721,https://www.procyclingstats.com/images/profiles/ap/dc/world-championships-itt-u23-2020-result-profile-219ba97e7f.jpg,https://www.procyclingstats.com/race/world-championships-itt-u23/2021/result
World Championships ME - ITT 2021 Time Trial,2021-09-19,Knokke-Heist,Bruges,WC,43.3,34.0,351.0,0.0,,48.0,2867,54.37,https://www.procyclingstats.com/images/profiles/ap/fa/world-championship-itt-2021-result-profile-8d0e30d62f.png,https://www.procyclingstats.com/race/world-championship-itt/2021/result
Škoda-Tour de Luxembourg 2021 Stage 4 (ITT),2021-09-17,Dudelange,Dudelange,2.Pro,25.4,287.0,407.0,12.0,,42.0,1853,49.347,https://www.procyclingstats.com/images/profiles/ap/ab/tour-de-luxembourg-2021-stage-4-profile-f1afd818b9.jpg,https://www.procyclingstats.com/race/tour-de-luxembourg/2021/stage-4
Okolo Slovenska / Tour de Slovaquie 2021 Prologue,2021-09-15,Košice,Košice,2.1,1.6,7.0,132.0,0.0,,110.0,110,52.364,https://www.procyclingstats.com/images/profiles/ap/fa/okolo-slovenska-2021-prologue-profile-076f12da76.jpg,https://www.procyclingstats.com/race/okolo-slovenska/2021/prologue
European Continental Championships MU - ITT 2021 Time Trial,2021-09-09,Trento,Trento,CC,22.4,50.0,13.0,,,227.0,1535,52.534,https://www.procyclingstats.com/images/profiles/ap/ef/european-championships-itt-u23-2021-result-profile-a0dd787765.jpg,https://www.procyclingstats.com/race/european-continental-championships-u23-itt/2021/result
European Continental Championships ME - ITT 2021 Time Trial,2021-09-09,Trento,Trento,CC,22.4,50.0,257.0,0.0,,63.0,1469,54.894,https://www.procyclingstats.com/images/profiles/ap/ac/uec-road-european-championships-itt-2021-result-profile-61feb6153d.jpg,https://www.procyclingstats.com/race/uec-road-european-championships-itt/2021/result
La Vuelta ciclista a España 2021 Stage 21 (ITT),2021-09-05,Padrón,Santiago de Compostela,2.UWT,33.8,641.0,1023.0,56.0,,10.0,2642,46.056,https://www.procyclingstats.com/images/profiles/ap/cd/vuelta-a-espana-2021-stage-21-profile-n2-e69624cb90.jpg,https://www.procyclingstats.com/race/vuelta-a-espana/2021/stage-21
Benelux Tour 2021 Stage 2 (ITT),2021-08-31,Lelystad,Lelystad,2.UWT,11.1,3.0,648.0,0.0,,24.0,728,54.89,https://www.procyclingstats.com/images/profiles/ap/ad/benelux-tour-2021-stage-2-profile-d01a366652.jpg,https://www.procyclingstats.com/race/renewi-tour/2021/stage-2
Turul Romaniei 2021 Prologue,2021-08-31,Timișoara,Timișoara,2.1,4.0,117.0,31.0,0.0,,170.0,291,49.485,https://www.procyclingstats.com/images/profiles/ap/ff/romanian-cycling-tour-2021-stage-1-profile-6ab3f1ff7a.jpg,https://www.procyclingstats.com/race/turul-romaniei/2021/prologue
Tour Poitou - Charentes en Nouvelle Aquitaine 2021 Stage 4 (ITT),2021-08-26,Monts-sur-Guesnes,Loudun,2.1,23.5,110.0,164.0,0.0,,85.0,1675,50.507,https://www.procyclingstats.com/images/profiles/ap/bc/tour-du-poitou-charentes-et-de-la-vienne-2021-stage-3b-profile-37442cbcec.jpg,https://www.procyclingstats.com/race/tour-du-poitou-charentes-et-de-la-vienne/2021/stage-4
Volta a Portugal em Bicicleta Santander 2021 Stage 10 (ITT),2021-08-15,Viseu ,Viseu ,2.1,20.3,255.0,52.0,16.0,,135.0,1524,47.953,https://www.procyclingstats.com/images/profiles/ap/fe/volta-a-portugal-2021-stage-10-profile-bc69738d6a.jpg,https://www.procyclingstats.com/race/volta-a-portugal/2021/stage-10
PostNord Danmark Rundt - Tour of Denmark 2021 Stage 5 (ITT),2021-08-14,Frederiksberg,Frederiksberg,2.Pro,10.8,31.0,186.0,0.0,,78.0,733,53.042,https://www.procyclingstats.com/images/profiles/ap/db/tour-of-denmark-2021-stage-5-profile-n2-a9e6dee841.jpg,https://www.procyclingstats.com/race/tour-of-denmark/2021/stage-5
La Vuelta ciclista a España 2021 Stage 1 (ITT),2021-08-14,Burgos,Burgos,2.UWT,7.1,87.0,1023.0,9.0,,10.0,512,49.922,https://www.procyclingstats.com/images/profiles/ap/cc/vuelta-a-espana-2021-stage-1-profile-n2-0690a4252d.jpg,https://www.procyclingstats.com/race/vuelta-a-espana/2021/stage-1
Tour de Pologne 2021 Stage 6 (ITT),2021-08-14,Katowice,Katowice,2.UWT,19.1,126.0,442.0,3.0,,39.0,1331,51.66,https://www.procyclingstats.com/images/profiles/ap/ec/tour-de-pologne-2021-stage-6-profile-5357558fa3.jpg,https://www.procyclingstats.com/race/tour-de-pologne/2021/stage-6
Pan American Championships - ITT 2021 Time Trial,2021-08-13,,,CC,40.0,,5.0,,,270.0,2949,48.83,,https://www.procyclingstats.com/race/panamerican-champ-itt/2021/result
National Championships Sweden ME - ITT 2021 Time Trial,2021-08-05,Lekeryd,Lekeryd,NC,32.0,,1.0,,,363.0,2311,49.849,,https://www.procyclingstats.com/race/nc-sweden-itt/2021/result
